array_size	shellTime	quikcTime	selectionTime
342000	62	703	716404.5
343000	78	703	720600.125
344000	62	687	724808
345000	62	703	729028.125
346000	78	703	733260.5
347000	63	719	737505.125
348000	63	703	741762
349000	63	734	746031.125
350000	62	750	750312.5
351000	62	781	754606.125
352000	78	750	758912
353000	79	782	763230.125
354000	78	719	767560.5
355000	62	734	771903.125
356000	63	812	776258
357000	63	781	780625.125
358000	62	766	785004.5
359000	62	735	789396.125
360000	78	750	793800
361000	79	734	798216.125
362000	78	751	802644.5
363000	78	750	807085.125
364000	78	735	811538
365000	79	766	816003.125
366000	62	751	820480.5
367000	78	750	824970.125
368000	79	750	829472
369000	78	782	833986.125
370000	62	781	838512.5
371000	79	782	843051.125
372000	62	766	847602
373000	78	750	852165.125
374000	78	782	856740.5
375000	78	875	861328.125
376000	78	891	865928
377000	78	891	870540.125
378000	78	796	875164.5
379000	78	812	879801.125
380000	62	797	884450
381000	78	781	889111.125
382000	78	812	893784.5
383000	78	813	898470.125
384000	79	875	903168
385000	62	859	907878.125
386000	78	844	912600.5
387000	62	829	917335.125
388000	79	813	922082
389000	79	813	926841.125
390000	78	797	931612.5
391000	78	828	936396.125
392000	78	828	941192
393000	78	828	946000.125
394000	78	813	950820.5
395000	78	812	955653.125
396000	78	985	960498
397000	78	938	965355.125
398000	78	938	970224.5
399000	78	906	975106.125
400000	78	938	980000
401000	79	875	984906.125
402000	78	859	989824.5
403000	78	875	994755.125
404000	78	891	999698
405000	94	875	1004653.125
406000	78	860	1009620.5
407000	78	860	1014600.125
408000	78	860	1019592
409000	94	875	1024596.125
410000	78	875	1029612.5
411000	78	860	1034641.125
412000	93	875	1039682
413000	94	860	1044735.125
414000	78	859	1049800.5
415000	94	875	1054878.125
416000	94	1031	1059968
417000	78	922	1065070.125
418000	93	922	1070184.5
419000	94	922	1075311.125
420000	94	891	1080450
421000	94	891	1085601.125
422000	94	906	1090764.5
423000	94	937	1095940.125
424000	94	937	1101128
425000	78	922	1106328.125
426000	94	922	1111540.5
427000	94	906	1116765.125
428000	109	907	1122002
429000	94	922	1127251.125
430000	94	922	1132512.5
431000	94	907	1137786.125
432000	78	953	1143072
433000	78	937	1148370.125
434000	78	922	1153680.5
435000	94	938	1159003.125
436000	93	938	1164338
437000	94	922	1169685.125
438000	94	937	1175044.5
439000	94	938	1180416.125
440000	79	953	1185800
441000	78	953	1191196.125
442000	78	969	1196604.5
443000	78	984	1202025.125
444000	94	969	1207458
445000	78	968	1212903.125
446000	78	969	1218360.5
447000	94	969	1223830.125
448000	93	985	1229312
449000	78	954	1234806.125
450000	94	985	1240312.5
451000	94	1016	1245831.125
452000	79	1016	1251362
453000	94	1047	1256905.125
454000	94	1031	1262460.5
455000	93	1078	1268028.125
456000	94	1157	1273608
457000	93	1109	1279200.125
458000	109	1047	1284804.5
459000	125	1047	1290421.125
460000	110	1015	1296050
461000	94	1079	1301691.125
462000	109	1000	1307344.5
463000	125	1016	1313010.125
464000	94	1031	1318688
465000	141	1079	1324378.125
466000	94	1140	1330080.5
467000	109	1078	1335795.125
468000	94	1047	1341522
469000	94	1047	1347261.125
470000	94	1000	1353012.5
471000	93	1015	1358776.125
472000	109	1166	1364552
473000	126	1129	1370340.125
474000	94	1068	1376140.5
475000	93	1079	1381953.125
476000	93	1094	1387778
477000	93	1110	1393615.125
478000	94	1094	1399464.5
479000	93	1063	1405326.125
480000	93	1094	1411200
481000	93	1094	1417086.125
482000	94	1047	1422984.5
483000	94	1079	1428895.125
484000	94	1094	1434818
485000	125	1094	1440753.125
486000	93	1047	1446700.5
487000	109	1094	1452660.125
488000	94	1109	1458632
489000	94	1079	1464616.125
490000	109	1156	1470612.5
491000	94	1078	1476621.125
492000	109	1094	1482642
493000	94	1094	1488675.125
494000	94	1125	1494720.5
495000	93	1079	1500778.125
496000	109	1109	1506848
497000	110	1109	1512930.125
498000	141	1126	1519024.5
499000	94	1125	1525131.125
500000	94	1151	1531250
